product_id,product_type,timestamp,actual_price,promotional_price,max_discount,min_price,competitor1,competitor2,competitor3,competitor4,competitor5,max_predicted_price_range,min_predicted_price_range,base_predicted_price
product1,electronics,1718598978.144811,1413.86,1224.3,207.92,1205.94,1251.19,1269.74,1310.96,1337.5,1205.94,1253.16,1168.02,1228.69
product2,headphones,1718573428.1935492,346.85,299.38,45.14,301.71,341.17,301.71,321.44,321.44,321.44,310.67,298.46,301.41
product3,beverages,1718538846.8098795,2.47,2.1,0.31,2.16,2.42,2.16,2.42,2.27,2.44,2.21,2.06,2.14
product4,beverages,1718508268.2721052,1.13,0.96,0.1,1.03,1.07,1.04,1.03,1.05,1.1,2.39,0.87,0.97
product5,smartphones,1718497350.1003008,617.34,527.41,92.55,524.79,524.79,582.33,604.97,553.51,546.57,551.26,516.51,532.22
product6,smartphones,1718471615.9129112,535.88,459.66,23.65,512.23,512.23,528.08,520.155,520.155,520.155,475.66,459.65,468.6
product7,smartphones,1718402954.595302,636.79,618.95,48.85,587.94,587.94,621.13,604.5350000000001,604.5350000000001,604.5350000000001,616.66,549.91,591.22
product8,electronics,1718375257.725376,1689.23,1474.15,68.41,1620.82,1676.23,1620.82,1648.525,1648.525,1648.525,1621.93,1238.55,1521.27
product9,electronics,1718343273.1870496,1515.6,1374.75,227.3,1288.3,1507.3,1394.25,1337.04,1495.52,1288.3,1402.38,1302.91,1374.68
product10,beverages,1718276832.5975845,2.95,2.52,0.43,2.52,2.58,2.64,2.74,2.7,2.52,53.48,2.5,2.47
product11,beverages,1718269537.2735949,3.33,3.25,0.49,2.84,2.84,2.87,2.855,2.855,2.855,264.08,1.41,2.91
product12,beverages,1718209409.0449278,3.36,2.9,0.47,2.89,3.18,3.07,2.89,3.05,2.89,264.08,1.58,2.78
product13,beverages,1718176133.6663132,2.02,1.73,0.29,1.73,1.93,1.74,1.79,1.91,1.73,6.74,1.72,1.75
product14,beverages,1718133622.3927157,2.8,2.48,0.29,2.51,2.77,2.53,2.54,2.51,2.78,2.63,2.41,2.58
product15,electronics,1718115993.0732195,1936.72,1654.17,287.43,1649.29,1649.29,1837.05,1682.08,1765.25,1795.4,1726.47,1606.08,1668.96
product16,electronics,1718044930.3928547,1062.87,905.76,105.41,957.46,957.46,1014.24,975.83,1045.55,1008.88,957.98,709.33,920.48
product17,headphones,1718014398.2807372,362.12,315.29,32.22,329.9,333.06,329.9,336.29,348.53,345.21,349.81,311.55,321.61
product18,electronics,1717978770.732623,625.88,542.57,58.25,567.63,601.54,567.63,584.585,584.585,584.585,543.32,532.96,547.42
product19,beverages,1717930592.4708152,2.38,2.07,0.2,2.18,2.33,2.18,2.255,2.255,2.255,4.69,1.95,2.09
product20,beverages,1717898041.5189602,1.58,1.36,0.21,1.37,1.37,1.55,1.57,1.44,1.37,43.62,1.3,1.36
product21,beverages,1717857107.6473858,1.82,1.6,0.25,1.57,1.57,1.76,1.665,1.665,1.665,6.63,1.57,1.62
product22,electronics,1717813830.4293337,668.35,581.12,5.94,662.41,662.41,662.43,662.42,662.42,662.42,622.85,579.06,583.23
product23,headphones,1717745567.2794724,360.8,312.25,52.04,308.76,338.5,308.76,326.48,318.05,325.12,328.64,311.39,312.73
product24,headphones,1717709515.765808,150.82,130.75,14.91,135.91,135.91,139.63,137.76999999999998,137.76999999999998,137.76999999999998,264.08,124.58,128.06
product25,electronics,1717649133.806806,776.44,694.84,40.62,735.82,770.32,735.82,753.07,753.07,753.07,708.04,589.51,691.91
product26,beverages,1717565417.9545624,2.67,2.29,0.3,2.37,2.37,2.5,2.64,2.67,2.53,2.6,2.35,2.21
product27,headphones,1717487835.385807,361.22,309.52,53.54,307.68,324.64,307.68,330.68,350.75,356.98,328.85,309.43,314.7
